Manufacturer;Model Name;Screen Size;RAM; Storage;Operating System;Color
Lenovo;ThinkPad X1;"14.0""";8GB;512GB;Windows;Серебристый
HP;Pavilion X360;"13.3""";8GB;256GB;Windows;Желтый
Lenovo;ThinkPad T470s;"14.0""";8GB;256GB;Windows;Синий
Dell;Alienware 17;"17.3""";32GB;1TB;Windows;Красный
MSI;GL72M 7REX;"17.3""";8GB;128GB;Windows;Желтый
Lenovo;V310-15IKB (i5-7200U/4GB/1TB/No;"15.6""";4GB;1TB;No OS;Желтый
Dell;Inspiron 5570;"15.6""";8GB;128GB;Windows;Белый
Dell;Inspiron 5378;"13.3""";4GB;1TB;Windows;Серый
Dell;Inspiron 5567;"15.6""";8GB;1TB;Linux;Черный
HP;15-BW037na (A9-9420/4GB/1TB/Radeon;"15.6""";4GB;1TB;Windows;Голубой
Acer;Predator 17;"17.3""";16GB;128GB;Windows;Красный
Dell;Inspiron 3567;"15.6""";12GB;1TB;Windows;Красный
HP;15-BW091ND (A9-9420/6GB/1TB;"15.6""";6GB;128GB;Windows;Серый
Acer;Extensa EX2540-58KR;"15.6""";4GB;500GB;Windows;Синий
Lenovo;ThinkPad 13;"13.3""";8GB;256GB;Windows;Белый
Lenovo;V310-15IKB (i7-7500U/4GB/1TB/FHD/W10);"15.6""";4GB;1TB;Windows;Серый
HP;ZBook 15;"15.6""";16GB;256GB;Windows;Белый
Dell;Inspiron 5379;"13.3""";8GB;1TB;Windows;Черный
MSI;GS63VR 7RF;"15.6""";16GB;256GB;Windows;Желтый
Acer;Aspire ES1-572;"15.6""";4GB;500GB;Windows;Красный
Dell;Inspiron 7560;"15.6""";8GB;128GB;Windows;Желтый
Dell;Vostro 3568;"15.6""";8GB;256GB;Windows;Красный
Toshiba;Tecra X40-D-10G;"14.0""";8GB;256GB;Windows;Белый
Lenovo;Flex 5;"14.0""";8GB;256GB;Windows;Синий
Lenovo;Thinkpad P51s;"15.6""";16GB;1TB;Windows;Красный
Acer;Chromebook 14;"14.0""";2GB;32GB;Chrome OS;Голубой
Samsung;Notebook 9;"13.3""";16GB;256GB;Windows;Черный
HP;250 G6;"15.6""";8GB;256GB;Windows;Красный
Dell;Latitude 5480;"14.0""";8GB;256GB;Windows;Желтый
HP;Zbook 17;"17.3""";16GB;256GB;Windows;Белый
Lenovo;N23 (N3060/4GB/128GB/W10);"11.6""";4GB;128GB;Windows;Желтый
HP;EliteBook 850;"15.6""";8GB;256GB;Windows;Серебристый
Asus;X550VX-XX015D (i5-6300HQ/4GB/1TB/GeForce;"15.6""";4GB;1TB;No OS;Черный
Lenovo;Thinkpad T460;"14.0""";4GB;1GB;Windows;Белый
Asus;Pro P2540UA-XO0192R;"15.6""";4GB;256GB;Windows;Белый
Lenovo;Yoga 900-13ISK;"13.3""";8GB;256GB;Windows;Белый
HP;15-cb003na (i5-7300HQ/8GB/1TB;"15.6""";8GB;128GB;Windows;Белый
HP;ZBook 15;"15.6""";8GB;256GB;Windows;Синий
Dell;Alienware 17;"15.6""";16GB;256GB;Windows;Серый
Acer;Aspire 3;"15.6""";4GB;256GB;Windows;Серебристый
Lenovo;Legion Y520-15IKBN;"15.6""";8GB;128GB;Windows;Красный
Dell;Latitude 7280;"12.5""";16GB;256GB;Windows;Голубой
Google;Pixelbook (Core;"12.3""";8GB;256GB;Chrome OS;Белый
Asus;Zenbook UX330UA-AH5Q;"13.3""";8GB;256GB;Windows;Желтый
Dell;Latitude 3380;"13.3""";4GB;500GB;Windows;Серый
Acer;TravelMate P238-M;"13.3""";4GB;128GB;Windows;Черный
Asus;X751NV-TY001 (N4200/4GB/1TB/GeForce;"17.3""";4GB;1TB;Windows;Белый
Dell;Inspiron 7559;"15.6""";16GB;128GB;Windows;Красный
Samsung;Notebook 9;"13.3""";8GB;256GB;Windows;Красный
Acer;Aspire A315-31;"15.6""";4GB;1TB;Linux;Голубой
Dell;Inspiron 5567;"15.6""";16GB;256GB;Windows;Желтый
Samsung;Notebook 9;"15.0""";16GB;256GB;Windows;Желтый
Toshiba;Tecra A40-C-1E5;"14.0""";4GB;128GB;Windows;Серый
Dell;Inspiron 7567;"15.6""";8GB;1TB;Windows;Красный
HP;EliteBook 820;"12.5""";4GB;256GB;Windows;Серый
Asus;Q524UQ-BHI7T15 (i7-7500U/12GB/2TB/GeForce;"15.6""";12GB;2TB;Windows;Желтый
Lenovo;Thinkpad P50;"15.6""";16GB;512GB;Windows;Синий
Acer;Swift 3;"14.0""";4GB;128GB;Windows;Серый
Razer;Blade Pro;"14.0""";16GB;512GB;Windows;Красный
Asus;Vivobook Max;"15.6""";8GB;128GB;Windows;Серый
Dell;Alienware 17;"17.3""";32GB;1TB;Windows;Белый
Asus;Rog G752VS-BA171T;"17.3""";16GB;256GB;Windows;Серебристый
Toshiba;Tecra Z40-C-161;"14.0""";16GB;512GB;Windows;Серебристый
Lenovo;IdeaPad 110-15IBR;"15.6""";8GB;1TB;No OS;Серый
Lenovo;ThinkPad T470s;"14.0""";16GB;512GB;Windows;Желтый
MSI;GS43VR 7RE;"14.0""";16GB;256GB;Windows;Голубой
MSI;GL62M (i5-7300HQ/8GB/1TB;"15.6""";8GB;128GB;Windows;Голубой
Lenovo;Legion Y520-15IKBN;"15.6""";4GB;1TB;Windows;Синий
Acer;Predator G9-793;"17.3""";16GB;256GB;Windows;Черный
Dell;Inspiron 7567;"15.6""";8GB;256GB;Windows;Красный
Asus;FX502VM-DM560T (i7-7700HQ/8GB/1TB;"15.6""";8GB;128GB;Windows;Белый
Vero;K146 (N3350/4GB/32GB/W10);"14.0""";4GB;32GB;Windows;Серый
Lenovo;ThinkPad Yoga;"13.3""";8GB;512GB;Windows;Серебристый
Lenovo;Yoga 510-15IKB;"15.6""";8GB;256GB;Windows;Синий
Apple;"MacBook 12""";"12.0""";8GB;512GB;Mac OS;Голубой
Lenovo;ThinkPad X1;"14.0""";8GB;256GB;Windows;Красный
Asus;R417NA-RS01 (N3350/4GB/32GB/W10);"14.0""";4GB;32GB;Windows;Голубой
Dell;Latitude 3580;"15.6""";8GB;128GB;Windows;Серый
Lenovo;Yoga 910-13IKB;"13.9""";8GB;256GB;Windows;Серебристый
Dell;Vostro 5568;"15.6""";8GB;256GB;Windows;Серый
HP;ZBook 17;"15.6""";8GB;256GB;Windows;Черный
Asus;Pro P2540UA-XS51;"15.6""";8GB;256GB;Windows;Желтый
Dell;XPS 13;"13.3""";8GB;256GB;Windows;Серый
Dell;XPS 15;"15.6""";8GB;256GB;Windows;Красный
Dell;Latitude 3180;"11.6""";4GB;128GB;Windows;Желтый
HP;EliteBook 820;"12.5""";8GB;256GB;Windows;Красный
Toshiba;Satellite Pro;"15.6""";4GB;500GB;Windows;Желтый
HP;15-ba043na (A12-9700P/8GB/2TB/W10);"15.6""";8GB;2TB;Windows;Красный
Dell;Inspiron 7567;"15.6""";16GB;512GB;Windows;Синий
Lenovo;IdeaPad 310-15IKB;"15.6""";4GB;1TB;Windows;Голубой
HP;Omen 17-an012dx;"17.3""";12GB;1TB;Windows;Голубой
MSI;GE72MVR 7RG;"17.3""";16GB;512GB;Windows;Красный
Samsung;Notebook 9;"13.3""";8GB;256GB;Windows;Черный
Dell;Vostro 5568;"15.6""";8GB;1TB;Windows;Красный
Dell;Vostro 3568;"15.6""";8GB;256GB;Windows;Серебристый
Lenovo;Thinkpad T470s;"14.0""";8GB;256GB;Windows;Синий
Razer;Blade Stealth;"12.5""";16GB;512GB;Windows;Голубой
HP;Chromebook 11;"11.6""";4GB;16GB;Chrome OS;Серебристый
Dell;Alienware 17;"17.3""";16GB;128GB;Windows;Серый
Dell;Latitude 3480;"14.0""";4GB;500GB;Windows;Серебристый
Lenovo;V110-15ISK (i3-6006U/4GB/500GB/W10);"15.6""";4GB;500GB;Windows;Желтый
Toshiba;Tecra X40-D-10Z;"14.0""";4GB;128GB;Windows;Желтый
Lenovo;Thinkpad X1;"14.0""";8GB;512GB;Windows;Голубой
MSI;GL62M 7RD;"15.6""";8GB;256GB;Windows;Серый
Lenovo;ThinkPad X1;"14.0""";8GB;256GB;Windows;Серый
Toshiba;Satellite Pro;"14.0""";4GB;128GB;Windows;Серый
Asus;ZenBook Flip;"13.3""";8GB;256GB;Windows;Красный
Dell;Latitude 3480;"14.0""";4GB;500GB;Windows;Черный
Acer;Chromebook 11;"11.6""";4GB;32GB;Chrome OS;Серый
Acer;Swift 3;"14.0""";8GB;128GB;Windows;Белый
Razer;Blade Pro;"17.3""";32GB;512GB;Windows;Красный
Lenovo;Thinkpad X1;"14.0""";16GB;512GB;Windows;Голубой
Asus;VivoBook Max;"15.6""";4GB;1TB;Linux;Черный
Lenovo;Thinkpad T460;"14.0""";8GB;256GB;Windows;Голубой
Lenovo;ThinkPad T470s;"14.0""";8GB;256GB;Windows;Черный
Dell;Alienware 15;"15.6""";16GB;256GB;Windows;Черный
Asus;Rog GL702VS-BA023T;"17.3""";16GB;256GB;Windows;Белый
Toshiba;Satellite Pro;"15.6""";4GB;500GB;Windows;Серый
Lenovo;N42-20 Chromebook;"14.0""";4GB;16GB;Chrome OS;Голубой
Asus;R558UA-DM966T (i5-7200U/8GB/128GB/FHD/W10);"15.6""";8GB;128GB;Windows;Черный
Asus;Rog GL702VM-GC017T;"17.3""";16GB;512GB;Windows;Серый
Dell;Alienware 17;"17.3""";32GB;512GB;Windows;Серый
HP;ProBook 470;"17.3""";8GB;1TB;Windows;Желтый
Dell;Vostro 3568;"15.6""";8GB;128GB;Windows;Серебристый
HP;EliteBook 840;"14.0""";8GB;512GB;Windows;Желтый
Dell;Vostro 3568;"15.6""";4GB;256GB;Windows;Желтый
HP;Chromebook X360;"11.6""";4GB;32GB;Chrome OS;Красный
Asus;ZenBook UX310UQ-GL026T;"13.3""";8GB;512GB;Windows;Серебристый
HP;EliteBook x360;"13.3""";8GB;256GB;Windows;Белый
HP;EliteBook 840;"14.0""";8GB;512GB;Windows;Желтый
HP;250 G6;"15.6""";4GB;128GB;No OS;Черный
Asus;Rog GL502VM-DS74;"15.6""";16GB;128GB;Windows;Белый
Dell;Inspiron 5767;"17.3""";8GB;1TB;Linux;Черный
Lenovo;ThinkPad T470p;"14.0""";8GB;256GB;Windows;Белый
Asus;K556UR-DM621T (i7-7500U/8GB/256GB/GeForce;"15.6""";8GB;256GB;Windows;Голубой
Dell;Latitude 5580;"15.6""";8GB;128GB;Windows;Серый
Asus;X541NA (N4200/4GB/1TB/W10);"15.6""";4GB;1TB;Windows;Черный
HP;EliteBook x360;"13.3""";8GB;256GB;Windows;Серый
Dell;Inspiron 5368;"13.3""";8GB;1TB;Windows;Серебристый
Lenovo;IdeaPad 110-15ISK;"15.6""";4GB;1TB;No OS;Синий
Lenovo;ThinkPad E570;"15.6""";8GB;1TB;Windows;Серый
HP;EliteBook 850;"15.6""";8GB;256GB;Windows;Синий
Toshiba;Portege X30-D-10X;"13.3""";4GB;128GB;Windows;Голубой
Lenovo;Legion Y520-15IKBN;"15.6""";8GB;1TB;No OS;Красный
Dell;XPS 13;"13.3""";16GB;512GB;Windows;Голубой
HP;Probook 450;"15.6""";4GB;500GB;Windows;Желтый
Toshiba;Portйgй Z30-C-188;"13.3""";8GB;256GB;Windows;Голубой
Lenovo;ThinkPad Yoga;"13.3""";8GB;256GB;Windows;Синий
Acer;TMX349-G2-M-50FS (i5-7200U/8GB/256GB/FHD/W10);"14.0""";8GB;256GB;Windows;Голубой
Dell;Precision 3520;"15.6""";8GB;1TB;Windows;Черный
Lenovo;ThinkPad L570;"15.6""";4GB;500GB;Windows;Голубой
Lenovo;IdeaPad 110-15ISK;"15.6""";4GB;1TB;No OS;Серебристый
Toshiba;Tecra A50-D-11D;"15.6""";8GB;256GB;Windows;Серебристый
Lenovo;Thinkpad 13;"13.3""";4GB;1GB;Windows;Красный
Samsung;Notebook 9;"15.0""";16GB;256GB;Windows;Серый
Dell;Latitude 7280;"12.5""";8GB;256GB;Windows;Желтый
Asus;X541NA-GO121 (N4200/4GB/1TB/Linux);"15.6""";4GB;1TB;Linux;Голубой
Xiaomi;Mi Notebook;"13.3""";8GB;256GB;Windows;Серебристый
Dell;Vostro 5568;"15.6""";4GB;128GB;Windows;Серый
HP;ProBook 450;"15.6""";4GB;256GB;Windows;Серый
HP;EliteBook x360;"13.3""";4GB;256GB;Windows;Синий
HP;Pavilion x360;"15.6""";4GB;500GB;Windows;Синий
Asus;VivoBook L402NA;"14.1""";4GB;32GB;Windows;Красный
Lenovo;IdeaPad 510-15ISK;"15.6""";8GB;1TB;Windows;Серебристый
Dell;Inspiron 3552;"15.6""";4GB;500GB;Windows;Синий
HP;EliteBook x360;"13.3""";4GB;256GB;Windows;Желтый
Dell;Vostro 3568;"15.6""";4GB;1TB;Linux;Черный
Asus;Rog GL753VD-GC082T;"17.3""";12GB;128GB;Windows;Голубой
Acer;Chromebook C731-C78G;"11.6""";4GB;32GB;Chrome OS;Серый
Lenovo;IdeaPad 110-17ACL;"17.3""";4GB;500GB;Windows;Белый
HP;Probook 640;"14.0""";4GB;128GB;Windows;Серый
HP;Envy x360;"13.3""";16GB;256GB;Windows;Голубой
Samsung;Notebook 9;"15.0""";8GB;256GB;Windows;Голубой
Lenovo;ThinkPad T470s;"14.0""";8GB;256GB;Windows;Белый
MSI;GS73VR Stealth;"17.3""";16GB;512GB;Windows;Серый
Toshiba;Portege X30-D-10V;"13.3""";8GB;256GB;Windows;Голубой
Dell;Inspiron 7567;"15.6""";8GB;1TB;Linux;Желтый
HP;ProBook 450;"15.6""";8GB;1TB;Windows;Желтый
Dell;Vostro 3568;"15.6""";4GB;1TB;Windows;Серый
Dell;Latitude 5580;"15.6""";8GB;500GB;Windows;Серебристый
Dell;XPS 13;"13.3""";8GB;512GB;Windows;Белый
Asus;G701VO-IH74K (i7-6820HK/32GB/2x;"17.3""";32GB;256GB;Windows;Желтый
Dell;XPS 13;"13.3""";16GB;256GB;Windows;Белый
Lenovo;ThinkPad X1;"14.0""";8GB;256GB;Windows;Белый
Lenovo;ThinkPad T570;"15.6""";8GB;512GB;Windows;Серебристый
LG;Gram 15Z970;"15.6""";16GB;512GB;Windows;Желтый
HP;Elitebook 820;"12.5""";8GB;512GB;Windows;Красный
Acer;Chromebook CB5-571-C1DZ;"15.6""";4GB;16GB;Chrome OS;Черный
Lenovo;IdeaPad Y700-15ISK;"15.6""";8GB;128GB;Windows;Голубой
LG;Gram 14Z970;"14.0""";8GB;512GB;Windows;Голубой
Dell;Latitude 5480;"14.0""";8GB;256GB;Windows;Синий
HP;Elitebook Folio;"12.5""";8GB;240GB;Windows;Серебристый
Lenovo;IdeaPad 510-15IKB;"15.6""";6GB;256GB;Windows;Желтый
HP;ProBook 450;"15.6""";8GB;256GB;Windows;Голубой
Acer;Aspire E5-575;"15.6""";4GB;1TB;Windows;Голубой
Lenovo;ThinkPad 13;"13.3""";4GB;128GB;Windows;Черный
HP;Probook 430;"13.3""";8GB;256GB;Windows;Белый
MSI;GE72VR 6RF;"17.3""";16GB;256GB;Windows;Черный
Dell;Inspiron 7567;"15.6""";16GB;128GB;Windows;Желтый
MSI;GL62M 7RD;"15.6""";8GB;128GB;Windows;Голубой
Dell;Vostro 3568;"15.6""";4GB;1TB;Windows;Красный
HP;EliteBook 850;"15.6""";8GB;256GB;Windows;Голубой
HP;Envy 13-AB077cl;"13.3""";8GB;256GB;Windows;Синий
Toshiba;Tecra Z50-C-140;"15.6""";16GB;256GB;Windows;Голубой
Lenovo;ThinkPad Yoga;"13.3""";8GB;512GB;Windows;Красный
Dell;Latitude 3580;"15.6""";4GB;500GB;Windows;Красный
Lenovo;Thinkpad X270;"12.5""";8GB;256GB;Windows;Голубой
HP;Probook 650;"15.6""";8GB;256GB;Windows;Синий
Dell;Vostro 3568;"15.6""";4GB;1TB;Windows;Желтый
HP;ProBook 640;"14.0""";4GB;500GB;Windows;Белый
Lenovo;IdeaPad 320-15IAP;"15.6""";4GB;1TB;Windows;Белый
HP;EliteBook 820;"12.5""";4GB;500GB;Windows;Желтый
HP;250 G6;"15.6""";4GB;1TB;No OS;Серый
Lenovo;Yoga 900-13ISK;"13.3""";16GB;1TB;Windows;Белый
Toshiba;Tecra Z40-C-12X;"14.0""";4GB;128GB;Windows;Синий
HP;EliteBook 820;"12.5""";8GB;256GB;Windows;Красный
Dell;Vostro 3568;"15.6""";4GB;1TB;Windows;Белый
MSI;GP62M Leopard;"15.6""";8GB;128GB;Windows;Желтый
Dell;Latitude 7480;"14.0""";8GB;256GB;Windows;Красный
Dell;Alienware 17;"17.3""";16GB;512GB;Windows;Серый
HP;Omen 17-W006na;"17.3""";8GB;128GB;Windows;Красный
Asus;X751SV-TY001T (N3710/4GB/1TB/GeForce;"17.3""";4GB;1TB;Windows;Желтый
Acer;TravelMate P259-G2;"15.6""";4GB;500GB;Windows;Серый
Toshiba;Tecra A50-C-1ZV;"15.6""";8GB;256GB;Windows;Серебристый
Lenovo;Yoga 700-11ISK;"11.3""";8GB;256GB;Windows;Желтый
Lenovo;IdeaPad Y700-15ACZ;"15.6""";16GB;512GB;Windows;Голубой
Dell;Latitude 7280;"12.5""";8GB;256GB;Windows;Желтый
Lenovo;IdeaPad 310-15IKB;"15.6""";8GB;1TB;No OS;Синий
Dell;Insprion 5767;"17.3""";4GB;1TB;Windows;Серебристый
Acer;Chromebook 14;"14.0""";4GB;32GB;Chrome OS;Красный
HP;ZBook Studio;"15.6""";8GB;8GB;Windows;Белый
Dell;Latitude 7480;"14.0""";8GB;256GB;Windows;Голубой
Toshiba;Portege Z30-C-1CW;"13.3""";8GB;256GB;Windows;Голубой
Asus;Chromebook Flip;"12.5""";8GB;64GB;Chrome OS;Красный
Lenovo;Thinkpad T460;"14.0""";8GB;256GB;Windows;Черный
Dell;Alienware 17;"17.3""";16GB;512GB;Windows;Серебристый
Dell;XPS 13;"13.3""";8GB;256GB;Windows;Белый
HP;ProBook x360;"11.6""";4GB;256GB;Windows;Серый
Dell;XPS 13;"13.3""";8GB;256GB;Windows;Красный
Acer;Chromebook C738T-C2EJ;"11.6""";4GB;32GB;Chrome OS;Белый
Toshiba;Portege Z30-C-16Z;"13.3""";8GB;256GB;Windows;Желтый
Lenovo;ThinkPad X270;"12.5""";8GB;256GB;Windows;Голубой
Acer;Aspire F5-573G-510L;"15.6""";12GB;128GB;Windows;Серебристый
Toshiba;Portege X20W-D-10V;"12.5""";8GB;512GB;Windows;Серебристый
HP;ProBook 450;"15.6""";8GB;1TB;Windows;Голубой
Dell;Inspiron 3567;"15.6""";4GB;1TB;Linux;Черный
Dell;Latitude 5580;"15.6""";4GB;500GB;Windows;Красный
HP;ProBook 450;"15.6""";4GB;500GB;Windows;Серый
Dell;Alienware 17;"17.3""";32GB;256GB;Windows;Желтый
Lenovo;IdeaPad 310-15IKB;"15.6""";6GB;256GB;Windows;Белый
Dell;XPS 13;"13.3""";16GB;512GB;Windows;Голубой
Dell;Latitude E7470;"14.0""";8GB;256GB;Windows;Голубой
Dell;Alienware 17;"17.3""";32GB;256GB;Windows;Черный
Toshiba;Tecra A40-C-1DF;"14.0""";8GB;256GB;Windows;Красный
Asus;Rog Strix;"17.3""";16GB;256GB;Windows;Синий
HP;Probook 450;"15.6""";8GB;128GB;Windows;Желтый
Lenovo;ThinkPad T460;"14.0""";4GB;508GB;Windows;Белый
Asus;Q534UX-BHI7T19 (i7-7500U/16GB/2TB;"15.6""";16GB;512GB;Windows;Серебристый
HP;15-bs053od (i7-7500U/6GB/1TB/W10);"15.6""";6GB;1TB;Windows;Серый
Asus;Rog GL753VE-DS74;"17.3""";16GB;256GB;Windows;Желтый
Dell;Inspiron 7579;"15.6""";12GB;512GB;Windows;Серый
Toshiba;Portege Z30-C-1CV;"13.3""";4GB;128GB;Windows;Черный
Lenovo;IdeaPad 320-15ABR;"15.6""";6GB;256GB;Windows;Серебристый
Fujitsu;LifeBook A556;"15.6""";4GB;256GB;Windows;Белый
Toshiba;Tecra A40-C-1KF;"14.0""";4GB;500GB;Windows;Красный
Dell;Inspiron 3567;"15.6""";4GB;500GB;Windows;Желтый
HP;Probook 450;"15.6""";8GB;1TB;Windows;Голубой
Lenovo;Legion Y520-15IKBN;"15.6""";8GB;128GB;Windows;Желтый
Dell;Inspiron 5567;"15.6""";8GB;1TB;Windows;Серый
Dell;Latitude 5480;"14.0""";8GB;128GB;Windows;Серый
HP;EliteBook Folio;"12.5""";8GB;512GB;Windows;Серый
HP;15-bs005nv (i3-6006U/4GB/1TB;"15.6""";4GB;128GB;Windows;Серебристый
Lenovo;V110-15IAP (N3350/4GB/128GB/No;"15.6""";4GB;128GB;No OS;Серый
Lenovo;ThinkPad T560;"15.6""";8GB;256GB;Windows;Белый
Dell;Inspiron 5378;"13.3""";8GB;256GB;Windows;Синий
Asus;ZenBook UX310UA-FB485T;"13.3""";8GB;256GB;Windows;Синий
HP;Spectre 13-V111dx;"13.3""";8GB;256GB;Windows;Черный
Acer;Aspire ES1-533;"15.6""";4GB;500GB;Windows;Серый
Asus;Rog GL553VE-DS74;"15.6""";16GB;256GB;Windows;Желтый
HP;EliteBook 840;"14.0""";8GB;512GB;Windows;Черный
Acer;Nitro 5;"15.6""";8GB;128GB;Windows;Черный
HP;ENVY -;"13.3""";8GB;256GB;Windows;Черный
Dell;Vostro 3568;"15.6""";4GB;128GB;Windows;Серый
HP;Probook 440;"14.0""";4GB;500GB;Windows;Красный
Toshiba;Portege Z30-C-16H;"13.3""";4GB;128GB;Windows;Белый
HP;EliteBook 840;"14.0""";4GB;256GB;Windows;Голубой
HP;ProBook 640;"14.0""";4GB;256GB;Windows;Красный
HP;EliteBook 1040;"14.0""";8GB;256GB;Windows;Белый
HP;ProBook 440;"14.0""";8GB;256GB;Windows;Серебристый
HP;Probook 440;"14.0""";4GB;500GB;Windows;Голубой
Dell;Inspiron 7567;"15.6""";8GB;1TB;Windows;Белый
HP;EliteBook 820;"12.5""";4GB;500GB;Windows;Желтый
HP;Elitebook 840;"14.0""";4GB;256GB;Windows;Желтый
HP;EliteBook 840;"14.0""";8GB;256GB;Windows;Голубой
HP;Probook 430;"13.3""";4GB;500GB;Windows;Черный
Toshiba;Portege A30-C-1CZ;"13.3""";8GB;256GB;Windows;Синий
HP;ProBook 450;"15.6""";4GB;256GB;Windows;Серый
Lenovo;ThinkPad P70;"17.3""";16GB;512GB;Windows;Серебристый
Toshiba;Tecra Z40-C-12Z;"14.0""";8GB;256GB;Windows;Желтый
HP;EliteBook 1040;"14.0""";8GB;256GB;Windows;Белый
Dell;Inspiron 5568;"15.6""";4GB;1TB;Windows;Белый
Toshiba;Portйgй Z30-C-16K;"13.3""";8GB;256GB;Windows;Голубой
HP;Spectre 13-V100nv;"13.3""";8GB;256GB;Windows;Черный
HP;ProBook 440;"14.0""";8GB;256GB;Windows;Серебристый
Dell;Latitude E5570;"15.6""";8GB;500GB;Windows;Серый
HP;Elitebook 820;"12.5""";4GB;256GB;Windows;Черный
HP;ProBook 650;"14.0""";4GB;500GB;Windows;Серый
HP;ProBook 640;"14.0""";4GB;500GB;Windows;Серебристый
Dell;XPS 13;"13.3""";8GB;256GB;Windows;Голубой
HP;Probook 470;"17.3""";8GB;256GB;Windows;Белый
HP;ProBook 440;"14.0""";4GB;256GB;Windows;Синий
Acer;Aspire 3;"15.6""";6GB;1TB;Windows;Серебристый
MSI;GL72M 7RDX;"17.3""";8GB;128GB;Windows;Желтый
HP;Probook 640;"14.0""";8GB;256GB;Windows;Черный
HP;EliteBook 850;"15.6""";8GB;256GB;Windows;Серый
HP;EliteBook 820;"12.5""";8GB;256GB;Windows;Белый
HP;ProBook 450;"15.6""";4GB;500GB;Windows;Серый
Toshiba;Tecra Z40-C-136;"14.0""";8GB;256GB;Windows;Черный
Dell;Latitude E5570;"15.6""";8GB;256GB;Windows;Черный
HP;ProBook 440;"14.0""";8GB;256GB;Windows;Красный
Lenovo;Yoga 500-15ISK;"15.6""";4GB;256GB;Windows;Черный
Vero;V142 (X5-Z8350/2GB/32GB/W10);"14.0""";2GB;32GB;Windows;Голубой
Toshiba;Tecra A50-C-218;"15.6""";16GB;256GB;Windows;Красный
Lenovo;Thinkpad L560;"15.6""";8GB;256GB;Windows;Голубой
HP;EliteBook 840;"14.0""";4GB;500GB;Windows;Синий
HP;EliteBook 850;"15.6""";8GB;256GB;Windows;Серый
HP;EliteBook 1040;"14.0""";8GB;256GB;Windows;Голубой
MSI;GT72S Dominator;"17.3""";16GB;256GB;Windows;Белый
Lenovo;IdeaPad Y900-17ISK;"17.3""";16GB;128GB;Windows;Голубой
Asus;Chromebook C202SA;"11.6""";4GB;16GB;Chrome OS;Синий
Lenovo;ThinkPad X1;"14.0""";16GB;256GB;Windows;Красный
HP;Noteb Pav;"15.6""";8GB;1TB;Windows;Желтый
Dell;Inspiron 5578;"15.6""";8GB;256GB;Windows;Серебристый
HP;ProBook 450;"15.6""";4GB;256GB;Windows;Черный
Dell;XPS 13;"13.3""";16GB;1TB;Windows;Белый
HP;ProBook 650;"15.6""";4GB;500GB;Windows;Красный
HP;250 G5;"15.6""";4GB;500GB;No OS;Красный
Acer;Aspire ES1-523;"15.6""";8GB;1TB;Windows;Черный
Dell;Inspiron 7378;"13.3""";12GB;256GB;Windows;Черный
MSI;GT62VR 6RD;"15.6""";16GB;256GB;Windows;Белый
HP;ProBook 450;"15.6""";8GB;256GB;Windows;Голубой
Asus;Rog G752VL-GC088D;"17.3""";16GB;1TB;No OS;Белый
Dell;Inspiron 3567;"15.6""";4GB;1TB;Windows;Голубой
Dell;Inspiron 5567;"15.6""";16GB;2TB;Windows;Серый
MSI;GS63VR 6RF;"15.6""";16GB;256GB;Windows;Серебристый
Dell;XPS 13;"13.3""";8GB;256GB;Windows;Красный
Asus;ROG G701VO;"17.3""";64GB;1TB;Windows;Желтый
Dell;Inspiron 5368;"13.3""";8GB;256GB;Windows;Серебристый
Dell;Alienware 15;"15.6""";16GB;256GB;Windows;Черный
Apple;"MacBook 12""";"12.0""";8GB;256GB;Mac OS;Белый
Dell;Latitude 3570;"15.6""";4GB;500GB;Windows;Черный
HP;ProBook 650;"15.6""";4GB;500GB;Windows;Желтый
HP;EliteBook 820;"12.5""";8GB;256GB;Windows;Белый
HP;ProBook 430;"13.3""";8GB;256GB;Windows;Серебристый
Lenovo;ThinkPad Yoga;"12.5""";8GB;256GB;Windows;Голубой
Lenovo;IdeaPad 300-17ISK;"17.3""";8GB;1TB;Windows;Синий
Lenovo;Ideapad 700-15ISK;"15.6""";4GB;1TB;Windows;Голубой
MSI;GT72VR Dominator;"17.3""";16GB;256GB;Windows;Серебристый
Lenovo;V110-15ISK (i5-6200U/4GB/500GB/W10);"15.6""";4GB;500GB;Windows;Голубой
HP;Probook 650;"15.6""";4GB;500GB;Windows;Серебристый
Lenovo;Yoga 900S-12ISK;"12.5""";8GB;512GB;Windows;Серебристый
Lenovo;IdeaPad Y900-17ISK;"17.3""";32GB;512GB;Windows;Синий
Lenovo;Yoga Book;"10.1""";4GB;64GB;Windows;Синий
HP;Spectre x360;"13.3""";16GB;512GB;Windows;Синий
Dell;Vostro 3568;"15.6""";8GB;256GB;Windows;Голубой
HP;EliteBook 840;"14.0""";4GB;500GB;Windows;Белый
HP;ZBook 15u;"15.6""";8GB;256GB;Windows;Желтый
Lenovo;ThinkPad T460;"14.0""";8GB;1GB;Windows;Желтый
HP;Chromebook 13;"13.3""";4GB;32GB;Chrome OS;Синий
Acer;Aspire ES1-523;"15.6""";4GB;500GB;Windows;Серый
Dell;Inspiron 3552;"15.6""";4GB;500GB;Linux;Желтый
HP;250 G6;"15.6""";4GB;1TB;No OS;Белый
Asus;Rog GL702VM-GC354T;"17.3""";8GB;256GB;Windows;Белый
